SKU_Name,SKU,Price_Tier1,Description,Status
GBBstn1ozMtlRollonMattGl,,,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstn1ozRollMattSl,,,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstn1ozRollShnSl,,,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstn1ozRollMattBlk,,,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstn1ozRollGl,,,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstn1ozRollMattGl,,,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstn1ozWhtDrp,,,"Boston rounddesign30ml,1oz Clear glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn1ozBlkDrpShnSlTrim,,,"Boston rounddesign30ml,1oz Clear glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn1ozWhtDrpShnGlTrim,,,"Boston rounddesign30ml,1oz Clear glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn1ozWhtDrpShnSlTrim,,,"Boston rounddesign30ml,1oz Clear glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn1ozBlkDrpShnGlTrim,,,"Boston rounddesign30ml,1oz Clear glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn1ozBlkDrp,GBBstn1ozBlkDrp,$0.68,"Boston round design 30ml, 1oz Clear glass bottle with black dropper. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.",Found
